[2025-10-31T12:15:40.774Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T12:15:42.033Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T12:35:27.335Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T12:36:52.659Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T14:25:57.863Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T14:48:39.336Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T15:41:15.302Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T15:57:52.290Z] IP: ::1 | GET /api/info | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T15:57:55.968Z] IP: ::1 | GET /api/info | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T16:21:10.430Z] IP: 127.0.0.1 | GET /health | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T16:21:26.641Z] IP: 127.0.0.1 | GET /health | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T16:22:10.149Z] IP: 172.26.0.251 | GET /health | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T16:22:39.225Z] IP: 172.26.0.251 | GET /health | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T16:32:33.817Z] IP: 172.26.0.251 | GET /health | UA: curl/8.5.0 | Ref: Direct
[2025-10-31T16:32:45.660Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T16:33:11.357Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T16:34:21.628Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T19:17:48.383Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T19:17:49.126Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T21:46:29.899Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T21:46:30.714Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-10-31T21:50:16.991Z] IP: 127.0.0.1 | POST /api/reprocess | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-03T15:45:35.281Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-04T03:47:13.319Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-04T03:47:15.413Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-04T05:04:40.791Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-04T15:19:48.114Z] IP: 127.0.0.1 | GET /api/info | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-04T15:19:55.886Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
[2025-11-04T17:45:39.076Z] IP: 127.0.0.1 | POST /api/upload | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 | Ref: Direct
